,x,y
0,180,1
1,213,1
2,185,1
3,188,1
4,201,1
5,187,1
6,197,1
7,213,2
8,175,1
9,195,1
10,191,1
11,208,2
12,169,1
13,182,1
14,213,2
15,180,1
16,214,3
17,169,1
18,197,3
19,220,3
20,170,1
21,185,2
22,203,3
23,190,2
24,186,2
25,166,1
26,215,3
27,187,1
28,179,1
29,187,1
30,200,1
31,190,1
32,170,1
33,201,2
34,187,1
35,177,2
36,183,1
37,188,1
38,196,1
39,169,1
40,193,1
41,187,1
42,167,1
43,195,1
44,188,1
45,180,1
46,166,1
47,192,1
48,205,1
49,187,1
50,206,2
51,217,2
52,210,2
53,193,2
54,184,1
55,197,1
56,179,1
57,189,1
58,187,1
59,211,3
60,181,1
61,204,3
62,175,1
63,185,1
64,172,1
65,191,4
66,166,1
67,200,2
68,185,1
69,219,2
70,208,2
71,214,2
72,177,1
73,195,1
74,189,2
75,184,1
76,203,2
77,198,2
78,197,1
79,187,1
80,187,1
81,180,1
82,186,1
83,184,1
84,190,1
85,180,1
86,211,2
87,222,2
88,203,2
89,172,1
90,169,1
91,195,1
92,217,1
93,196,1
94,195,1
95,187,1
96,209,2
97,193,1
98,193,1
99,201,1
100,184,1
101,188,1
102,197,1
103,207,2
104,226,2
105,188,1
106,167,1
107,184,1
108,177,1
109,177,1
110,190,1
111,190,1
112,162,1
113,187,1
114,167,1
115,175,1
116,162,1
