,x,y
0,5,1
1,5,1
2,5,1
3,7,1
4,5,1
5,5,1
6,15,2
7,7,2
8,11,2
9,8,1
10,11,2
11,5,1
12,5,1
13,5,1
14,3,1
15,5,1
16,11,2
17,5,1
18,8,2
19,12,2
20,3,1
21,8,2
22,3,1
23,7,1
24,7,1
25,5,1
26,5,1
27,5,1
28,2,1
29,5,1
30,5,1
31,5,1
32,13,2
33,4,1
34,17,2
35,7,1
36,11,2
37,8,2
38,5,1
39,5,1
40,14,2
41,7,1
42,8,1
43,11,2
44,10,2
45,11,2
46,5,1
47,7,1
48,6,1
49,5,1
50,7,1
51,5,1
52,2,1
53,7,1
54,4,1
55,9,2
56,7,1
57,14,2
58,5,1
59,5,1
60,7,2
61,13,2
62,13,2
63,5,1
64,5,1
65,5,1
66,4,1
67,8,1
68,4,1
69,11,2
70,8,2
71,4,1
72,5,1
73,7,1
74,8,1
75,5,1
76,8,1
77,5,1
78,5,1
79,5,1
80,5,1
81,5,1
82,4,1
83,12,2
84,9,2
85,9,2
86,7,1
87,17,2
88,5,1
89,6,1
90,5,1
91,8,1
92,7,1
93,8,1
94,7,1
95,7,1
96,5,1
97,5,1
98,3,1
99,7,1
100,8,1
101,5,1
102,5,1
103,4,1
104,5,1
105,5,1
106,5,1
107,5,1
108,7,1
109,4,1
110,5,1
111,8,1
112,5,1
113,5,1
114,8,1
115,8,1
116,5,1
117,5,1
118,5,1
119,5,1
120,5,1
